power_cap_uW=290000000 vddgfx=-100mV
prompt            n_prompt  A_tok_s            M_tok_s            identity
p01-water         13        67.90905038326268  79.61485034724548  PASS
p02-python-fib    15        66.91155289583101  79.57344520810716  PASS
p03-story         20        67.11666808808405  79.31494398731445  PASS
p04-list-planets  16        66.29232178242906  79.32057540610941  PASS
p05-math          15        66.87538538135028  79.67308186944743  PASS
p06-translate     21        67.27075742769347  79.4837943898067   PASS
p07-json          20        66.94059068054202  79.50912249052739  PASS
p08-sql           26        66.75775363015843  79.18095342434547  PASS
p09-explain-gpu   19        66.62566628918256  79.25522999884728  PASS
p10-recipe        11        67.03555081788953  79.63521459329718  PASS
p11-email         15        67.75255602486283  79.67046968426646  PASS
p12-rust          32        67.70621230301471  79.35820615264399  PASS
p13-haiku         9         67.45609217913115  79.35116841950459  PASS
p14-history       7         66.97623550487555  79.65321720197706  PASS
p15-bash          18        66.56259481702959  79.41616342702841  PASS
p16-chat          16        67.87108781475165  79.64375223207936  PASS
p17-summarize     59        67.34338473328931  78.6533125643477   PASS
p18-regex         11        67.84769596165441  79.48683079977219  PASS
p19-numbers       24        68.25680848013228  79.34305002412054  PASS
p20-dialog        12        66.88983366071872  79.36292052967624  PASS
A median 67.08 tok/s_gen spread 2.9%  |  M median 79.45 spread 1.3%  |  ratio 1.184  |  identity fails: none
clock-probe: busy 180/232 samples (skipped 3 in first 1s)  sclk min/med/max 1/3040/3318 MHz  power 62-348 W  junction max 73 C  -- .work/clock-probe-20260906-002410.log
exit=0
